#verbs extracted from القاعدة الصرفية
# الحقل الثالث يمثل رقم جدول التصريف في القاعدة الصرفية
# الحقل الثاني: لازم، متعدي أو مشترك بينهما
verb	transitive	Table-base
اِسْتَبْرَدَ	م	129
بَرَّ	ل/م	9
بَرَّ	م	12
بَرَّ	ل	10
بَرَّرَ	م	112
أَبَرَّ	ل/م	103
تَبارَّ	ل	124
اِبْتَرَّ	ل	115
بَرَزَ	ل	1
بَرُزَ	ل	7
بَرَّزَ	ل/م	112
بارَزَ	م	109
أَبْرَزَ	ل/م	102
تَبَرَّزَ	ل	126
تَبارَزَ	ل	123
بَرَّسَ	م	112
بَرِشَ	ل	4
اِبْرَشَّ	ل	128
بَرِصَ	ل	4
بَرَّصَ	م	112
أَبْرَصَ	ل/م	102
تَبَرَّصَ	م	126
بَرَضَ	ل	1
بَرَّضَ	ل	112
أَبْرَضَ	ل	102
تَبَرَّضَ	ل/م	126
اِبْتَرَضَ	ل	114
بَرَعَ	ل/م	3
بَرُعَ	ل	7
تَبَرَّعَ	ل	126
بَرِغَ	ل	4
بَرَقَ	ل/م	1
بَرِقَ	ل	4
بَرَّقَ	م/ل	112
أَبْرَقَ	ل/م	102
بَرَكَ	ل	1
بَرَّكَ	ل	112
بارَكَ	ل/م	109
أَبْرَكَ	ل/م	102
تَبَرَّكَ	ل	126
تَبارَكَ	ل	123
اِبْتَرَكَ	ل/م	114
بَرَمَ	م	1
بَرِمَ	ل	4
أَبْرَمَ	ل/م	102
تَبَرَّمَ	ل	126
بَرِهَ	ل	4
أَبْرَهَ	ل	102
بَرا	م	17
أَبْرَى	ل	104
بَرَى	م/ل	21
بارَى	م	111
أَبْرَى	ل	104
تَبَرَّى	ل/م	127
تَبارَى	ل	125
اِنْبَرَى	ل	121
اِبْتَرَى	م	116
بَزَجَ	ل/م	1
بَزَّجَ	م	112
بازَجَ	ل	109
تَبازَجَ	ل	123
بَزَخَ	م	3
بَزِخَ	ل	4
بَزَّخَ	ل	112
تَبازَخَ	ل	123
اِنْبَزَخَ	ل	119
بَزَرَ	م	1
بَزَّرَ	م	112
بَزَّ	م	8
اِبْتَزَّ	م	115
بَزُعَ	ل	7
تَبَزَّعَ	ل	126
بَزَغَ	ل/م	1
بَزَّغَ	م	112
اِبْتَزَغَ	ل	114
بَزَقَ	ل	1
بَزَلَ	ل/م	1
بَزُلَ	ل	7
بَزَّلَ	م	112
تَبَزَّلَ	ل/م	126
اِنْبَزَلَ	ل	119
بَزَمَ	ل/م	1
بَزا	ل/م	17
بَزِيَ	ل	19
أَبْزَى	ل	104
تَبازَى	ل	125
بَسَأَ	ل	14
بَسِئَ	ل	15
أَبْسَأَ	م	102
بَسَرَ	ل/م	1
باسَرَ	ل	109
أَبْسَرَ	ل/م	102
تَبَسَّرَ	ل/م	126
اِبْتَسَرَ	ل/م	114
بَسَّ	ل/م	8
أَبَسَّ	ل/م	103
اِنْبَسَّ	ل	120
بَسَطَ	م	1
بَسُطَ	ل	7
بَسَّطَ	م	112
باسَطَ	م	109
تَبَسَّطَ	ل	126
اِنْبَسَطَ	ل	119
بَسَقَ	ل/م	1
بَسَّقَ	ل	112
أَبْسَقَ	ل	102
تَبَسَّقَ	ل	126
بَسَلَ	ل/م	1
بَسُلَ	ل	7
بَسَّلَ	م	112
باسَلَ	م	109
أَبْسَلَ	م	102
تَبَسَّلَ	ل	126
